TaskDifficulty,TaskRating,PlannedTime,RealTime,Engagement,TasksPerPeriod,Label
4.0,4.0,3.0,4.87,0.99,7,2.68
3.0,4.0,4.0,7.05,0.99,1,2.37
1.0,5.0,7.0,14.73,0.9,9,2.03
2.0,4.0,7.0,1.95,0.83,4,2.96
1.0,5.0,4.0,8.26,0.79,3,2.02
4.0,5.0,4.0,3.51,0.93,4,3.13
2.0,4.0,4.0,14.59,0.64,4,1.95
1.0,5.0,6.0,2.59,0.73,2,2.57
2.0,4.0,4.0,6.65,0.81,1,2.06
2.0,5.0,5.0,11.33,0.71,1,2.3
2.0,5.0,3.0,10.86,0.71,8,2.25
1.0,5.0,6.0,6.92,0.67,2,2.13
2.0,5.0,4.0,5.85,0.78,5,2.38
2.0,4.0,2.0,6.57,0.93,4,1.98
3.0,5.0,8.0,4.7,0.6,8,2.97
2.0,5.0,2.0,3.87,0.97,2,2.35
3.0,5.0,3.0,7.76,0.84,9,2.6
2.0,5.0,7.0,4.76,0.91,7,2.63
2.0,5.0,1.0,5.02,0.78,7,2.24
3.0,4.0,1.0,10.19,0.89,1,2.22
2.0,4.0,8.0,14.56,0.51,2,2.02
1.0,5.0,7.0,9.45,0.91,4,2.11
1.0,5.0,6.0,2.08,0.52,4,2.72
3.0,5.0,6.0,2.06,0.94,3,3.37
2.0,5.0,6.0,14.32,1.0,7,2.33
3.0,4.0,1.0,5.16,0.65,8,2.22
1.0,4.0,2.0,2.29,0.61,2,1.82
1.0,5.0,1.0,9.39,0.88,4,1.92
1.0,4.0,5.0,9.73,0.63,3,1.72
2.0,5.0,4.0,10.08,0.93,2,2.31
2.0,5.0,6.0,4.74,0.55,6,2.53
2.0,5.0,2.0,1.21,0.56,4,2.65
2.0,4.0,3.0,14.51,0.99,6,1.96
4.0,5.0,8.0,4.51,0.84,2,3.32
2.0,5.0,3.0,10.46,0.92,4,2.28
2.0,5.0,4.0,10.89,0.66,6,2.28
3.0,4.0,2.0,9.54,0.84,5,2.25
2.0,5.0,1.0,5.38,0.8,3,2.24
2.0,5.0,1.0,4.8,0.8,8,2.24
3.0,4.0,5.0,9.37,0.84,7,2.34
4.0,4.0,5.0,13.13,0.79,3,2.59
1.0,4.0,1.0,14.25,0.71,6,1.59
4.0,5.0,3.0,2.48,0.64,4,3.13
2.0,5.0,8.0,3.17,0.88,5,2.95
1.0,5.0,6.0,14.23,0.61,5,1.99
2.0,4.0,3.0,11.31,0.85,7,1.96
4.0,4.0,8.0,13.36,0.62,5,2.64
2.0,5.0,5.0,3.84,0.81,3,2.57
2.0,5.0,4.0,9.23,0.87,5,2.32
2.0,5.0,8.0,10.82,0.61,7,2.38
1.0,4.0,1.0,10.52,0.53,5,1.58
1.0,5.0,5.0,6.71,0.57,5,2.08
1.0,5.0,5.0,1.22,0.8,9,3.11
1.0,5.0,6.0,9.16,0.92,3,2.09
1.0,5.0,1.0,4.54,0.52,6,1.92
1.0,5.0,6.0,7.3,0.87,1,2.13
2.0,5.0,1.0,14.41,0.67,5,2.19
1.0,4.0,6.0,6.59,0.74,8,1.85
2.0,4.0,8.0,12.76,0.96,5,2.08
3.0,5.0,3.0,3.64,0.67,9,2.71
2.0,5.0,4.0,10.41,0.73,6,2.29
2.0,4.0,4.0,14.68,0.51,8,1.93
1.0,4.0,1.0,2.43,0.54,8,1.68
1.0,4.0,2.0,1.12,0.63,3,2.1
1.0,5.0,7.0,7.07,0.51,7,2.15
1.0,4.0,5.0,2.3,0.82,7,2.23
1.0,4.0,5.0,11.48,0.71,6,1.7
1.0,4.0,1.0,13.8,0.77,7,1.6
1.0,4.0,8.0,7.08,0.59,2,1.9
1.0,4.0,6.0,4.62,0.65,9,1.95
2.0,5.0,2.0,7.08,0.83,1,2.27
1.0,4.0,3.0,11.13,0.98,1,1.68
2.0,5.0,6.0,1.13,0.53,3,3.75
2.0,4.0,6.0,9.25,0.95,3,2.09
2.0,5.0,1.0,9.59,0.79,1,2.21
1.0,5.0,1.0,9.93,0.78,7,1.91
3.0,5.0,8.0,4.39,0.75,4,3.02
2.0,5.0,5.0,11.0,0.53,2,2.29
1.0,4.0,1.0,2.28,0.54,5,1.69
3.0,4.0,1.0,3.79,0.8,6,2.26
4.0,5.0,1.0,13.28,0.67,9,2.79
1.0,5.0,8.0,11.34,0.96,4,2.11
1.0,5.0,5.0,1.19,0.7,2,3.13
3.0,5.0,3.0,4.48,0.57,5,2.66
3.0,5.0,3.0,4.0,0.86,3,2.71
1.0,5.0,7.0,4.79,0.65,2,2.3
1.0,4.0,7.0,4.47,0.76,1,2.05
2.0,5.0,1.0,1.88,0.85,2,2.34
2.0,5.0,7.0,7.43,0.95,6,2.48
2.0,4.0,5.0,11.26,0.9,8,2.02
2.0,5.0,8.0,9.49,0.84,3,2.44
2.0,4.0,3.0,10.42,0.84,9,1.97
3.0,5.0,6.0,2.14,0.97,9,3.34
1.0,4.0,3.0,14.32,0.65,2,1.63
1.0,5.0,3.0,12.74,0.5,8,1.92
3.0,5.0,5.0,12.27,0.64,5,2.59
3.0,4.0,7.0,12.52,0.61,4,2.33
2.0,5.0,6.0,14.06,0.83,5,2.31
2.0,5.0,5.0,8.62,0.82,4,2.36
1.0,5.0,1.0,3.8,0.8,8,1.96
2.0,4.0,8.0,9.63,0.51,4,2.1
2.0,4.0,4.0,11.4,0.86,6,1.99
1.0,4.0,3.0,11.33,0.66,2,1.65
1.0,5.0,4.0,8.3,0.83,5,2.03
2.0,5.0,8.0,1.96,0.78,6,3.4
1.0,5.0,8.0,6.2,0.67,5,2.25
2.0,5.0,5.0,13.89,0.57,2,2.26
1.0,5.0,5.0,9.18,0.55,7,2.02
2.0,5.0,5.0,8.54,0.92,4,2.37
1.0,4.0,4.0,4.76,0.96,8,1.85
3.0,5.0,5.0,6.16,0.82,7,2.73
2.0,4.0,8.0,13.53,0.55,7,2.03
2.0,5.0,1.0,10.33,0.7,9,2.2
3.0,5.0,5.0,12.02,0.86,1,2.61
2.0,5.0,2.0,7.36,0.89,6,2.27
1.0,4.0,7.0,9.82,0.56,6,1.77
2.0,4.0,4.0,4.48,0.5,6,2.12
2.0,4.0,2.0,10.88,0.86,6,1.94
3.0,4.0,5.0,6.99,0.68,7,2.38
2.0,4.0,8.0,7.2,0.63,6,2.2
1.0,5.0,1.0,10.09,0.51,1,1.88
1.0,5.0,3.0,14.11,0.77,3,1.94
2.0,4.0,6.0,1.9,0.93,2,2.84
2.0,4.0,7.0,12.55,0.98,6,2.07
2.0,5.0,6.0,5.09,0.78,8,2.53
2.0,5.0,5.0,7.21,0.76,3,2.38
4.0,5.0,7.0,1.31,0.54,8,4.36
2.0,5.0,7.0,5.21,0.77,8,2.58
1.0,5.0,1.0,8.04,0.69,5,1.91
1.0,5.0,7.0,1.79,0.8,8,3.05
1.0,5.0,4.0,7.88,0.69,6,2.02
1.0,4.0,2.0,13.98,0.62,5,1.6
1.0,5.0,2.0,2.48,0.55,9,2.1
1.0,4.0,2.0,11.7,0.66,7,1.62
1.0,5.0,4.0,6.74,0.55,8,2.03
1.0,4.0,6.0,10.17,0.59,1,1.74
3.0,5.0,1.0,4.64,0.99,2,2.56
1.0,5.0,7.0,3.23,0.72,8,2.52
2.0,5.0,4.0,3.25,0.77,9,2.55
2.0,5.0,2.0,1.99,0.94,4,2.5
4.0,4.0,5.0,3.6,1.0,9,2.92
1.0,4.0,3.0,10.3,0.79,4,1.67
2.0,5.0,7.0,13.34,0.91,9,2.35
4.0,4.0,4.0,12.4,0.66,7,2.56
3.0,5.0,8.0,10.59,0.65,2,2.69
3.0,4.0,4.0,2.55,0.7,9,2.64
1.0,5.0,1.0,5.05,0.84,4,1.94
1.0,5.0,1.0,5.34,0.84,8,1.94
2.0,5.0,4.0,4.5,0.66,7,2.43
4.0,4.0,2.0,8.21,0.57,7,2.53
2.0,5.0,3.0,8.5,0.82,8,2.29
2.0,5.0,7.0,6.0,0.56,1,2.51
1.0,5.0,1.0,5.95,0.79,5,1.93
3.0,5.0,7.0,12.6,0.85,2,2.65
1.0,5.0,2.0,12.05,0.85,2,1.93
2.0,4.0,7.0,5.31,0.88,1,2.28
2.0,5.0,5.0,13.79,0.94,5,2.3
2.0,4.0,1.0,14.34,0.75,2,1.9
1.0,4.0,2.0,5.57,0.87,4,1.69
1.0,4.0,2.0,5.96,0.81,3,1.68
2.0,4.0,3.0,8.08,0.59,3,1.97
1.0,4.0,3.0,14.18,0.51,2,1.61
2.0,4.0,5.0,13.27,0.64,6,1.98
1.0,5.0,2.0,2.44,0.72,2,2.12
2.0,5.0,6.0,6.5,0.81,8,2.46
2.0,5.0,2.0,8.75,0.92,8,2.26
1.0,5.0,3.0,8.04,0.6,5,1.97
2.0,4.0,6.0,3.71,0.56,7,2.34
1.0,5.0,1.0,13.02,0.98,4,1.92
1.0,5.0,1.0,10.48,0.55,1,1.88
4.0,4.0,7.0,12.73,0.74,2,2.64
2.0,5.0,4.0,13.02,0.79,4,2.27
3.0,4.0,3.0,11.48,0.77,1,2.26
1.0,5.0,4.0,7.15,0.54,8,2.02
2.0,5.0,6.0,9.55,0.53,9,2.34
3.0,4.0,3.0,3.25,0.55,4,2.43
2.0,4.0,5.0,10.43,0.79,3,2.02
2.0,5.0,2.0,3.51,0.77,2,2.35
2.0,5.0,5.0,10.72,0.62,5,2.3
2.0,4.0,6.0,4.21,0.82,3,2.31
4.0,5.0,3.0,2.65,0.91,7,3.13
3.0,4.0,8.0,3.31,0.52,6,2.88
4.0,5.0,6.0,1.03,0.75,1,4.52
1.0,5.0,8.0,11.06,0.84,8,2.1
3.0,4.0,2.0,11.25,0.63,2,2.22
4.0,4.0,1.0,8.21,0.65,5,2.5
1.0,4.0,1.0,3.26,0.81,9,1.67
1.0,4.0,6.0,2.17,0.95,8,2.42
3.0,4.0,4.0,1.27,0.9,2,3.13
2.0,5.0,3.0,3.32,0.79,9,2.45
3.0,4.0,3.0,13.47,0.87,5,2.25
1.0,5.0,1.0,4.38,0.68,6,1.94
3.0,5.0,7.0,5.96,0.82,3,2.83
1.0,5.0,5.0,2.47,0.73,3,2.48
1.0,5.0,7.0,4.11,0.59,8,2.37
1.0,4.0,2.0,8.27,0.85,2,1.66
3.0,5.0,5.0,9.51,0.78,2,2.64
2.0,5.0,5.0,4.43,0.68,5,2.51
2.0,5.0,6.0,1.81,0.96,6,3.19
2.0,4.0,1.0,6.47,0.51,2,1.9
3.0,5.0,7.0,4.28,0.66,5,2.96
2.0,5.0,7.0,4.07,0.53,7,2.67
3.0,4.0,1.0,14.44,0.88,8,2.21
2.0,4.0,7.0,9.63,0.85,7,2.1
2.0,5.0,8.0,8.8,0.67,8,2.44
2.0,5.0,1.0,6.82,0.84,9,2.23
2.0,5.0,6.0,7.01,0.7,5,2.43
3.0,5.0,4.0,8.57,0.88,5,2.63
2.0,4.0,5.0,10.75,0.73,4,2.01
1.0,5.0,6.0,10.83,0.71,9,2.04
3.0,5.0,3.0,3.4,0.97,5,2.76
2.0,4.0,2.0,8.0,0.63,2,1.94
2.0,4.0,4.0,6.77,0.56,8,2.03
4.0,5.0,3.0,13.19,0.79,7,2.85
2.0,4.0,5.0,9.84,0.98,8,2.05
1.0,5.0,7.0,8.46,0.69,3,2.12
4.0,4.0,1.0,2.62,0.53,4,2.57
2.0,4.0,5.0,9.48,0.67,5,2.03
2.0,4.0,6.0,2.64,0.75,6,2.56
1.0,5.0,2.0,5.72,0.58,1,1.96
3.0,5.0,6.0,3.0,0.83,4,3.08
2.0,5.0,4.0,10.69,1.0,5,2.31
2.0,5.0,4.0,3.89,0.73,7,2.48
3.0,4.0,2.0,6.49,0.68,5,2.26
3.0,5.0,8.0,13.54,0.7,1,2.65
1.0,5.0,3.0,3.86,0.56,7,2.09
2.0,5.0,3.0,8.11,0.94,8,2.3
1.0,4.0,4.0,6.87,0.71,7,1.75
3.0,5.0,4.0,1.25,0.69,4,3.43
1.0,4.0,7.0,12.1,0.83,8,1.76
2.0,4.0,1.0,1.97,0.72,5,2.02
3.0,5.0,7.0,7.64,0.82,9,2.76
3.0,5.0,7.0,8.85,0.53,5,2.69
2.0,4.0,8.0,9.8,0.91,1,2.14
3.0,4.0,3.0,10.64,0.97,9,2.28
1.0,5.0,8.0,4.55,0.82,5,2.41
3.0,5.0,8.0,1.14,0.98,6,4.6
1.0,5.0,2.0,11.13,0.58,4,1.91
2.0,5.0,3.0,8.5,0.74,6,2.28
3.0,5.0,1.0,12.71,0.8,8,2.5
1.0,4.0,6.0,12.5,0.79,3,1.72
1.0,5.0,4.0,12.81,0.7,5,1.96
3.0,5.0,4.0,7.79,0.67,2,2.62
3.0,4.0,1.0,5.67,0.56,2,2.21
2.0,5.0,8.0,12.08,0.7,7,2.37
2.0,4.0,7.0,7.32,0.58,6,2.14
2.0,5.0,2.0,3.57,0.87,4,2.36
1.0,5.0,8.0,12.97,0.6,5,2.05
2.0,5.0,4.0,13.36,0.53,1,2.24
1.0,5.0,5.0,7.53,0.78,7,2.08
4.0,5.0,7.0,2.06,0.8,8,3.8
2.0,5.0,4.0,6.43,0.94,9,2.38
2.0,5.0,5.0,12.25,0.79,8,2.3
2.0,4.0,8.0,13.62,0.67,5,2.04
4.0,5.0,1.0,3.85,0.9,3,2.87
1.0,4.0,1.0,1.94,0.77,9,1.73
2.0,5.0,7.0,13.28,0.54,6,2.31
2.0,5.0,4.0,6.45,0.78,5,2.36
2.0,5.0,3.0,8.58,0.95,3,2.3
1.0,4.0,5.0,14.55,0.7,6,1.67
3.0,4.0,2.0,1.93,0.65,3,2.48
4.0,5.0,4.0,10.08,0.57,6,2.88
2.0,4.0,2.0,2.04,0.58,4,2.15
2.0,4.0,4.0,6.26,0.72,2,2.06
4.0,4.0,3.0,12.25,0.8,8,2.55
3.0,3.0,3.0,7.07,0.54,4,1.98
1.0,3.0,7.0,14.96,0.97,9,1.44
2.0,2.0,7.0,8.83,0.88,7,1.53
2.0,2.0,3.0,5.5,0.79,2,1.44
2.0,2.0,6.0,4.08,0.91,4,1.73
3.0,3.0,3.0,5.91,0.54,5,2.01
4.0,3.0,1.0,6.22,0.74,3,2.22
4.0,2.0,1.0,1.96,0.82,9,2.04
2.0,2.0,6.0,6.17,0.91,5,1.58
1.0,2.0,8.0,7.5,0.89,2,1.31
4.0,3.0,5.0,11.12,0.64,3,2.3
3.0,3.0,8.0,10.19,0.97,9,2.13
1.0,2.0,2.0,10.92,0.56,7,1.01
4.0,2.0,8.0,1.12,0.94,2,4.04
3.0,2.0,4.0,4.05,0.99,9,1.9
2.0,3.0,8.0,10.26,0.59,4,1.79
2.0,2.0,4.0,7.78,0.86,9,1.44
2.0,3.0,6.0,1.07,0.52,2,3.23
1.0,3.0,1.0,12.26,0.7,4,1.29
2.0,2.0,7.0,11.82,0.76,5,1.45
3.0,2.0,4.0,8.68,0.79,2,1.72
1.0,2.0,1.0,1.93,0.97,1,1.15
2.0,3.0,5.0,11.73,0.84,7,1.71
2.0,3.0,2.0,9.17,0.74,1,1.64
2.0,3.0,5.0,11.95,0.9,8,1.72
4.0,2.0,6.0,11.52,0.98,3,2.05
2.0,2.0,8.0,12.24,0.51,6,1.45
2.0,3.0,8.0,8.25,0.99,7,1.89
3.0,3.0,3.0,2.96,0.54,1,2.16
2.0,2.0,3.0,10.4,0.91,6,1.38
1.0,3.0,3.0,9.69,0.64,7,1.36
2.0,3.0,5.0,11.39,0.57,6,1.69
1.0,2.0,4.0,3.38,0.72,4,1.33
1.0,3.0,2.0,3.73,0.82,1,1.44
2.0,3.0,3.0,13.47,0.69,9,1.64
2.0,3.0,6.0,11.5,0.53,4,1.71
4.0,2.0,6.0,13.72,0.8,7,2.01
2.0,2.0,3.0,11.62,0.95,7,1.37
2.0,3.0,8.0,9.36,0.69,2,1.83
2.0,2.0,3.0,10.16,0.61,1,1.35
1.0,2.0,2.0,13.45,0.72,8,1.02
2.0,2.0,3.0,9.1,0.52,8,1.35
1.0,2.0,2.0,9.85,0.91,7,1.05
4.0,3.0,6.0,3.19,0.91,8,2.76
1.0,3.0,3.0,7.63,0.79,3,1.4
2.0,2.0,5.0,11.03,0.68,2,1.4
1.0,2.0,7.0,4.79,0.9,7,1.43
4.0,2.0,5.0,3.83,0.78,8,2.27
2.0,3.0,6.0,5.39,0.91,1,1.92
2.0,3.0,2.0,4.38,0.82,9,1.72
1.0,2.0,5.0,4.01,0.89,4,1.36
3.0,3.0,2.0,6.95,0.8,4,1.97
1.0,3.0,5.0,13.71,0.71,3,1.38
3.0,3.0,5.0,8.1,0.98,6,2.08
1.0,3.0,2.0,3.63,0.77,1,1.44
1.0,2.0,4.0,2.08,0.8,6,1.56
1.0,3.0,5.0,10.75,0.61,2,1.4
2.0,2.0,3.0,6.36,0.81,9,1.42
2.0,3.0,7.0,12.51,0.79,2,1.75
1.0,3.0,6.0,10.23,0.59,7,1.43
3.0,3.0,4.0,12.15,0.53,1,1.95
2.0,3.0,2.0,4.81,0.8,7,1.7
2.0,2.0,4.0,10.69,0.88,5,1.4
2.0,2.0,1.0,4.7,0.76,8,1.34
2.0,3.0,1.0,14.15,0.61,4,1.58
2.0,3.0,5.0,9.91,0.83,7,1.73
1.0,2.0,5.0,5.54,0.54,6,1.22
1.0,2.0,3.0,4.77,0.72,5,1.16
3.0,2.0,7.0,3.67,0.58,4,2.13
4.0,3.0,6.0,10.72,0.59,7,2.33
2.0,3.0,4.0,4.06,0.6,5,1.86
1.0,2.0,1.0,9.33,0.69,5,1.0
2.0,2.0,5.0,4.7,0.53,1,1.57
2.0,3.0,8.0,10.27,0.7,2,1.8
1.0,3.0,8.0,12.41,0.76,5,1.47
1.0,2.0,6.0,11.89,0.74,3,1.13
3.0,2.0,4.0,11.65,0.69,2,1.67
2.0,2.0,5.0,3.63,0.92,4,1.71
1.0,2.0,5.0,2.24,0.57,4,1.63
1.0,2.0,1.0,10.79,0.75,4,1.0
1.0,3.0,1.0,6.16,0.53,4,1.3
2.0,3.0,5.0,7.05,0.54,3,1.77
1.0,3.0,2.0,1.44,0.79,7,1.7
1.0,3.0,5.0,4.63,0.78,9,1.6
3.0,2.0,6.0,1.47,0.94,5,2.82
1.0,2.0,5.0,13.31,0.78,4,1.09
2.0,2.0,3.0,4.41,0.98,2,1.5
1.0,2.0,7.0,8.8,0.52,2,1.19
1.0,3.0,3.0,1.55,0.55,5,1.84
1.0,3.0,3.0,10.34,0.52,7,1.34
3.0,2.0,2.0,5.52,0.59,9,1.67
3.0,2.0,2.0,13.57,0.77,7,1.62
3.0,3.0,8.0,13.43,0.82,5,2.06
2.0,2.0,5.0,5.55,0.52,6,1.52
2.0,2.0,3.0,13.61,0.97,3,1.36
1.0,3.0,2.0,14.95,0.92,5,1.33
1.0,3.0,1.0,12.56,0.65,8,1.29
3.0,2.0,5.0,12.83,0.54,1,1.67
1.0,2.0,6.0,4.49,0.58,1,1.36
1.0,3.0,7.0,9.07,0.56,7,1.49
1.0,2.0,4.0,1.94,0.56,5,1.57
1.0,2.0,5.0,2.33,0.76,5,1.62
1.0,3.0,4.0,14.98,0.62,1,1.34
2.0,2.0,3.0,5.57,0.68,9,1.43
2.0,3.0,7.0,11.47,0.99,1,1.78
3.0,2.0,4.0,12.29,0.84,5,1.68
3.0,3.0,3.0,13.01,0.97,9,1.97
2.0,2.0,1.0,14.97,0.57,4,1.28
1.0,2.0,4.0,4.38,0.69,8,1.24
2.0,2.0,7.0,1.56,0.78,6,2.62
2.0,2.0,8.0,6.76,0.54,3,1.61
1.0,3.0,5.0,2.82,0.5,4,1.78
2.0,3.0,3.0,1.31,0.84,2,2.27
2.0,2.0,5.0,6.05,0.82,1,1.53
2.0,2.0,7.0,11.97,0.71,8,1.45
2.0,3.0,2.0,8.93,0.74,1,1.64
1.0,3.0,3.0,5.38,0.71,1,1.44
4.0,2.0,4.0,10.16,0.51,4,1.97
3.0,2.0,3.0,4.25,0.67,6,1.78
1.0,2.0,5.0,1.2,0.59,9,2.21
3.0,3.0,1.0,11.7,0.55,1,1.88
2.0,2.0,3.0,9.73,0.98,7,1.39
3.0,3.0,4.0,11.67,0.8,5,1.98
3.0,2.0,2.0,1.55,0.86,8,1.97
2.0,3.0,8.0,12.72,0.66,7,1.75
1.0,2.0,6.0,9.67,0.7,4,1.16
1.0,2.0,1.0,8.89,0.62,4,1.0
2.0,2.0,8.0,9.74,0.55,6,1.5
2.0,3.0,2.0,13.1,0.59,6,1.6
1.0,2.0,3.0,9.22,0.9,9,1.09
1.0,2.0,5.0,9.13,0.84,5,1.15
3.0,2.0,7.0,14.87,0.77,8,1.72
4.0,2.0,5.0,11.59,0.74,5,2.0
2.0,3.0,8.0,7.19,0.96,2,1.93
1.0,3.0,4.0,10.9,0.54,6,1.36
1.0,3.0,5.0,6.45,0.64,9,1.5
1.0,2.0,1.0,4.2,0.67,3,1.04
4.0,3.0,5.0,9.36,0.89,1,2.35
1.0,2.0,4.0,13.99,1.0,1,1.09
2.0,2.0,6.0,14.01,0.62,3,1.39
1.0,2.0,3.0,5.79,0.94,5,1.15
2.0,2.0,7.0,8.39,0.92,3,1.54
2.0,3.0,8.0,3.96,0.61,9,2.17
3.0,3.0,3.0,14.94,0.7,8,1.93
1.0,3.0,5.0,14.74,0.7,3,1.37
1.0,2.0,2.0,10.09,0.99,9,1.06
1.0,2.0,3.0,12.26,0.59,6,1.03
4.0,2.0,6.0,11.01,0.9,7,2.05
3.0,2.0,5.0,9.3,0.67,4,1.73
2.0,2.0,7.0,1.75,0.87,4,2.49
2.0,2.0,4.0,7.37,0.71,2,1.43
2.0,2.0,6.0,10.45,0.79,5,1.45
1.0,2.0,5.0,10.49,0.92,8,1.13
4.0,3.0,6.0,6.22,0.9,7,2.48
2.0,3.0,3.0,14.18,0.93,7,1.66
2.0,3.0,7.0,3.34,0.53,6,2.18
2.0,3.0,4.0,8.01,0.85,3,1.73
1.0,2.0,5.0,10.67,0.57,5,1.1
1.0,3.0,1.0,10.76,0.71,1,1.3
3.0,3.0,8.0,10.08,0.77,7,2.12
1.0,2.0,4.0,4.85,0.7,9,1.22
2.0,2.0,1.0,3.19,0.76,1,1.37
1.0,3.0,6.0,9.9,1.0,2,1.48
2.0,2.0,2.0,9.39,0.57,3,1.32
1.0,2.0,4.0,3.51,0.84,3,1.33
2.0,2.0,6.0,10.87,0.7,8,1.44
3.0,2.0,1.0,7.37,0.57,7,1.6
1.0,2.0,3.0,10.35,0.58,6,1.04
2.0,2.0,3.0,12.72,0.97,4,1.37
2.0,2.0,2.0,3.38,0.94,9,1.47
2.0,2.0,8.0,1.27,0.95,1,3.18
4.0,3.0,4.0,11.91,1.0,2,2.3
3.0,2.0,4.0,9.54,0.6,4,1.69
1.0,2.0,4.0,10.79,0.68,3,1.08
1.0,2.0,8.0,12.73,0.83,1,1.17
1.0,3.0,6.0,12.24,0.74,5,1.42
2.0,2.0,7.0,14.45,0.71,7,1.42
1.0,2.0,7.0,8.5,0.68,2,1.22
2.0,3.0,2.0,7.84,0.8,5,1.66
2.0,3.0,4.0,6.63,0.79,6,1.76
2.0,2.0,6.0,3.15,0.58,7,1.83
3.0,3.0,3.0,9.02,0.74,1,1.97
1.0,2.0,1.0,4.88,0.78,7,1.04
1.0,2.0,6.0,13.9,0.79,4,1.11
3.0,2.0,8.0,9.16,0.61,8,1.82
2.0,2.0,7.0,9.3,0.87,4,1.51
2.0,3.0,7.0,5.97,0.51,6,1.9
2.0,2.0,3.0,1.73,0.68,9,1.79
1.0,2.0,3.0,1.44,0.89,5,1.61
3.0,3.0,8.0,6.93,0.78,4,2.22
3.0,3.0,1.0,2.18,0.63,8,2.0
2.0,2.0,3.0,9.5,0.85,9,1.38
1.0,3.0,2.0,13.33,0.78,4,1.32
2.0,2.0,1.0,13.36,0.9,3,1.31
2.0,3.0,3.0,10.23,0.87,8,1.67
1.0,3.0,5.0,3.96,0.81,5,1.66
4.0,3.0,6.0,13.08,0.74,2,2.31
1.0,2.0,3.0,13.41,0.57,9,1.02
4.0,2.0,2.0,3.75,0.63,3,2.02
2.0,2.0,4.0,11.32,0.71,2,1.38
